type,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9
r3_f3_c5,61.0,77.5,80.5,85.0,87.0,87.0,86.5,91.0,95.5,92.5,96.5,96.0,96.0,96.5,95.0,97.5,97.5
r3_f6_c5,62.5,73.0,84.5,82.0,87.0,93.0,94.5,94.0,96.0,97.0,97.5,97.5,97.0,96.0,96.5,97.0,97.5
r3_f9_c5,64.5,59.5,64.5,50.0,77.5,60.0,73.0,79.0,87.0,81.5,73.0,81.0,89.5,91.0,89.0,94.0,91.5
r3_f12_c5,56.5,47.5,59.0,62.0,72.0,86.0,76.0,86.0,87.5,90.0,91.0,72.0,87.0,88.5,90.0,83.5,86.0
r3_f15_c5,52.5,57.0,58.0,71.5,69.0,71.5,80.0,80.0,78.0,86.5,89.5,86.5,95.5,97.0,96.0,97.5,95.5
