type,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9
r3_f3_c5,74.0,73.5,79.5,80.0,81.5,85.0,92.5,92.5,93.5,93.0,94.0,90.0,98.0,99.0,97.5,94.5,98.5
r3_f6_c5,56.0,62.5,80.0,81.5,78.5,89.0,83.0,88.5,90.0,90.5,93.5,96.0,94.5,95.0,94.0,94.0,93.0
r3_f9_c5,60.5,66.5,73.0,77.5,85.5,83.5,91.0,94.0,96.5,95.0,93.5,92.0,95.5,93.0,93.5,96.5,95.0
r3_f12_c5,58.5,65.0,70.0,67.0,79.0,74.0,78.5,79.5,88.0,95.5,96.0,98.5,95.0,98.0,96.0,96.5,92.0
r3_f15_c5,51.0,57.0,62.5,64.0,72.5,77.0,84.5,81.5,65.5,63.0,63.0,89.0,87.0,87.0,91.5,95.5,89.0
